t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.92,0.8014810640425553,-0.47557027382289946,0.0,1.0941644096417398,1.0031793032513991,0.0,-2.8669725475653087,6.508223004540829,0.0,-4.269037784025635,-25.6257195984118,0.0,39.129440642146776,-141.29328627829221,0.0,0.0
0.93,0.8122786640625,-0.46521739843749993,0.0,1.065287630208333,1.0669572135416672,0.0,-2.90775607638889,6.245107812499999,0.0,-3.892713541666666,-26.976338541666685,0.0,36.10201388888888,-128.70483796296298,0.0,0.0
0.9400000000000001,0.8227855185541767,-0.4542401195036984,0.0,1.0360213187341138,1.1280385705989169,0.0,-2.944931096062523,5.969128491749035,0.0,-3.5476744018239863,-28.197274323206038,0.0,32.871518462791485,-115.35377930812757,0.0,0.0
0.9500000000000001,0.8329979073233881,-0.44266602382720865,0.0,1.006399961985258,1.1863013451145135,0.0,-2.978820701212621,5.681620291884773,0.0,-3.235978101508916,-29.28081460082307,0.0,29.43254430727022,-101.22286255144027,0.0,0.0
0.96,0.842912438543657,-0.43052385045177427,0.0,0.976454711993151,1.2416372487675258,0.0,-3.0097688343385425,5.383996448314237,0.0,-2.9597364782986126,-30.219074554687516,0.0,25.779681365740764,-86.29483993055567,0.0,0.0
0.97,0.8525260143574683,-0.41784334932125394,0.0,0.9462131748706286,1.2939525227067146,0.0,-3.038140826818245,5.0777499070308645,0.0,-2.7211154703360805,-31.0039968873457,0.0,21.907519581618672,-70.55246368312766,0.0,0.0
0.98,0.8618357943386222,-0.4046551319706502,0.0,0.9156991942181648,1.3431687432802721,0.0,-3.0643239399139452,4.7644550493907545,0.0,-2.5223351163301615,-31.62735182372044,0.0,17.810648898319627,-53.978486046810815,0.0,0.0
0.99,0.8708391567616001,-0.3909905140736,0.0,0.8849326291199997,1.3892236450133335,0.0,-3.0887279057777786,4.445769416888889,0.0,-2.365669555555556,-32.08073711111113,0.0,13.48365925925927,-36.55565925925936,0.0,0.0
1.0,0.8795336576238402,-0.376881349673852,0.0,0.853929126730212,1.4320719608332448,0.0,-3.1117854684574553,4.123435435935378,0.0,-2.253447027852797,-32.35557801919368,0.0,8.921140607853232,-18.266735558127635,0.0,0.0
1.01,0.8879169873668258,-0.3623598569282528,0.0,0.8226998894487355,1.4716862795425996,0.0,-3.1339529249019207,3.7992821426316845,0.0,-2.1880498736282554,-32.44312734002059,0.0,4.117682887517148,0.9055328189299985,0.0,0.0
1.02,0.8959869252418804,-0.34745843518876324,0.0,0.7912514366873173,1.5080579205400262,0.0,-3.1557106659670144,3.475226907546872,0.0,-2.171914533854167,-32.33446538802085,0.0,-0.9321239583333352,20.978393634259277,0.0,0.0
1.03,0.9037412912665753,-0.3322094732510288,0.0,0.7595853612254228,1.5411978257887518,0.0,-3.1775637174211258,3.1532771604938263,0.0,-2.2075315500685875,-32.02050000000002,0.0,-6.233689986282592,41.96909465020579,0.0,0.0
1.04,0.9111778957176426,-0.31664514859702475,0.0,0.7276980801560788,1.5711374690329192,0.0,-3.2000422809508544,2.835532115305486,0.0,-2.2974455643754297,-31.491966535140186,0.0,-11.792425252914974,63.8948836291153,0.0,0.0
1.05,0.9182944861063,-0.3007972174592999,0.0,0.6955805804216665,1.597929782261667,0.0,-3.2237022751666675,2.5241844946111094,0.0,-2.444255319444448,-30.739427875000025,0.0,-17.613739814814856,86.77300833333348,0.0,0.0
1.06,0.9250878294376434,-0.28469649631464794,0.0,0.6632161111646141,1.6216485778934056,0.0,-3.249122427970367,2.2214973183897424,0.0,-2.644458626908643,-29.77210998623842,0.0,-20.602155056790128,101.14454857640607,0.0,0.0
1.07,0.9315570852359306,-0.2683738555096645,0.0,0.6305892981047385,1.6423918203332986,0.0,-3.276569891168759,1.9288403063132726,0.0,-2.842264444922532,-28.758642664685176,0.0,-18.94052815246914,101.53420262081622,0.0,0.0
1.08,0.9376986682643127,-0.2518582460648369,0.0,0.5976784016229921,1.6602592271802779,0.0,-3.305910511613725,1.646335927698773,0.0,-3.02291096248889,-27.741740653866675,0.0,-17.17143300740741,101.82944065185188,0.0,0.0
1.09,0.9435096459348015,-0.23517791817233585,0.0,0.5644653657387948,1.6753524802559798,0.0,-3.3369674366927655,1.3740136040604671,0.0,-3.185357638404014,-26.722409487244843,0.0,-15.301697862345678,102.0179880038752,0.0,0.0
1.1,0.9489869141128119,-0.21836010390774332,0.0,0.5309339538867119,1.6877735032747327,0.0,-3.3695537497933796,1.1118920878446765,0.0,-3.3286322138716065,-25.701777444938003,0.0,-13.338150958024688,102.08757001124832,0.0,0.0
1.11,0.9541272158031334,-0.20143101536503688,0.0,0.4970698461423332,1.6976243490155438,0.0,-3.403473153127142,0.8599782349632583,0.0,-3.4518307125027796,-24.681095553720837,0.0,-11.287620535185178,102.02591200833336,0.0,0.0
1.12,0.9589271607740183,-0.1844158439812273,0.0,0.4628607296199119,1.7050070742194228,0.0,-3.438520650553775,0.618265777327041,0.0,-3.554117440316051,-23.66173758702442,0.0,-9.156934834567894,101.82073932949248,0.0,0.0
1.1300000000000001,0.9633832460511057,-0.16733876117339638,0.0,0.42829638204176335,1.7100236022120388,0.0,-3.4744832304052222,0.38673409537925973,0.0,-3.634724985737347,-22.645200064936198,0.0,-6.952922096913568,101.45977730908783,0.0,0.0
